Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Nick Schmaltz,20232024,ARI,R,C,76,22,38,60,-18,10,0.79,11,38,10,21,1,1,1,3,152,14.5,19:06,41.9,ARI,7500000,5850000
Nick Suzuki,20232024,MTL,R,C,79,33,43,76,-13,34,0.96,21,45,12,31,0,0,1,1,180,18.3,21:13,52.1,MTL,10000000,7875000
Nico Hischier,20232024,NJD,L,C,69,27,39,66,-5,12,0.96,20,48,6,17,1,1,0,4,178,15.2,19:26,56.7,NJD,7750000,7250000
Nicolas Aube-Kubel,20232024,WSH,R,R,57,6,10,16,4,23,0.28,6,16,0,0,0,0,0,0,56,10.7,12:12,35.3,NA,NA,NA
Nicolas Roy,20232024,VGK,R,C,66,11,27,38,6,29,0.58,10,31,1,7,0,0,0,2,107,10.3,15:38,46.4,VEG,3500000,3000000
Nikita Kucherov,20232024,TBL,L,R,78,43,98,141,11,22,1.81,30,89,13,52,0,0,1,6,300,14.3,21:36,50,TBL,5000000,9500000
Nikita Zadorov,20232024,"CGY,VAN",L,D,72,6,13,19,0,121,0.26,6,18,0,0,0,1,0,1,86,7,17:25,--,VAN,3750000,3750000
Niko Mikkola,20232024,FLA,L,D,80,3,14,17,10,65,0.21,3,16,0,0,0,1,0,0,91,3.3,20:03,--,FLA,2500000,2500000
Nikolaj Ehlers,20232024,WPG,L,L,79,24,33,57,26,29,0.72,24,51,0,6,0,0,1,7,224,10.7,15:52,26.7,WPG,6500000,6000000
Nils Hoglander,20232024,VAN,L,L,77,23,12,35,22,47,0.45,23,35,0,0,0,0,0,4,117,19.7,12:02,--,NA,NA,NA
Nils Lundkvist,20232024,DAL,R,D,57,2,17,19,14,16,0.33,2,17,0,2,0,0,0,0,72,2.8,14:20,--,DAL,832500,925000
Nino Niederreiter,20232024,WPG,L,R,75,18,15,33,12,34,0.44,15,29,3,4,0,0,0,3,169,10.7,14:59,49.1,WPG,4000000,4000000
Noah Cates,20232024,PHI,L,L,57,6,12,18,-8,0,0.32,6,16,0,0,0,2,0,1,77,7.8,13:42,44.4,PHI,2625000,2625000
Noah Dobson,20232024,NYI,R,D,79,10,60,70,12,36,0.89,9,45,1,24,0,1,0,4,174,5.8,24:31,--,NYI,4000000,4000000
Noah Hanifin,20232024,"CGY,VGK",L,D,77,13,31,44,20,24,0.57,8,31,5,11,0,2,0,2,160,8.1,23:37,--,VEG,1237500,1237500
Oliver Bjorkstrand,20232024,SEA,R,R,78,20,37,57,-19,10,0.73,12,33,8,24,0,0,0,3,183,10.9,16:14,34.6,SEA,5350000,5400000
Oliver Ekman-Larsson,20232024,FLA,L,D,79,9,23,32,10,76,0.41,8,21,1,11,0,0,1,3,122,7.4,18:35,--,FLA,775000,2250000
Olli Maatta,20232024,DET,L,D,69,4,13,17,16,14,0.25,4,17,0,0,0,0,0,0,47,8.5,16:00,--,NA,NA,NA
Ondrej Palat,20232024,NJD,L,L,69,11,20,31,-7,37,0.45,10,26,1,5,0,0,0,0,105,10.5,15:39,18.8,NA,NA,NA
Oskar Sundqvist,20232024,STL,R,C,71,6,15,21,-6,32,0.3,2,13,3,5,1,3,0,0,68,8.8,13:15,41.9,STL,775000,775000
Owen Power,20232024,BUF,L,D,74,6,26,32,7,28,0.43,6,26,0,5,0,1,0,1,105,5.7,22:54,--,BUF,832500,916667
Owen Tippett,20232024,PHI,R,R,76,28,25,53,-4,12,0.7,23,45,5,8,0,0,1,4,283,9.9,16:34,42.2,PHI,1750000,1500000
Parker Kelly,20232024,OTT,L,L,77,8,10,18,-6,30,0.23,6,15,0,0,2,3,0,0,83,9.6,11:35,23.3,OTT,775000,762500
Patrick Kane,20232024,DET,L,R,47,20,24,44,-5,8,0.94,18,30,2,14,0,0,3,7,140,14.3,18:18,--,DET,2750000,2750000
Patrick Maroon,20232024,MIN,L,L,49,4,12,16,-11,60,0.33,4,15,0,1,0,0,0,0,54,7.4,12:46,37.5,NA,NA,NA
Paul Cotter,20232024,VGK,L,C,72,7,17,24,-10,41,0.33,5,20,2,4,0,0,0,0,98,7.1,12:47,48.9,VEG,775000,775000
Pavel Buchnevich,20232024,STL,L,L,77,27,35,62,4,48,0.81,17,42,8,17,2,3,2,5,202,13.4,19:56,36.6,STL,6900000,5800000
Pavel Dorofeyev,20232024,VGK,L,L,43,12,8,20,6,8,0.47,12,20,0,0,0,0,0,1,88,13.6,13:05,50,VEG,825000,825000
Pavel Mintyukov,20232024,ANA,L,D,63,4,24,28,-20,24,0.44,4,20,0,7,0,1,0,0,88,4.6,18:51,--,ANA,855000,918333
Pavel Zacha,20232024,BOS,L,C,75,19,37,56,13,18,0.75,14,42,5,14,0,0,1,6,138,13.8,18:08,54.8,BOS,5750000,4750000
Peyton Krebs,20232024,BUF,L,C,78,4,13,17,3,65,0.22,4,17,0,0,0,0,0,2,72,5.6,12:32,46.3,BUF,832500,863333
Philip Tomasino,20232024,NSH,R,C,41,7,13,20,-6,25,0.49,7,16,0,4,0,0,0,2,62,11.3,12:34,15.8,NA,NA,NA
Philipp Kurashev,20232024,CHI,L,C,71,17,35,52,-40,21,0.73,12,34,5,18,0,0,1,3,126,13.5,19:04,46.5,CHI,2250000,2250000
Phillip Danault,20232024,LAK,L,C,75,17,27,44,11,18,0.59,14,34,3,8,0,2,0,2,155,11,18:00,51.3,LAK,3750000,5500000
Pierre Engvall,20232024,NYI,L,L,72,10,16,26,2,18,0.36,8,19,2,7,0,0,0,1,126,7.9,15:19,44.2,NYI,3000000,3000000
Pierre-Luc Dubois,20232024,LAK,L,C,79,15,24,39,-9,70,0.49,9,32,6,7,0,0,0,4,143,10.5,15:40,49.1,LAK,1000000,8500000
Pius Suter,20232024,VAN,L,C,64,13,14,27,15,16,0.42,11,22,2,5,0,0,0,2,98,13.3,15:37,49.3,VAN,1600000,1600000
Pontus Holmberg,20232024,TOR,L,R,51,6,10,16,10,18,0.31,6,16,0,0,0,0,0,1,51,11.8,11:28,47.8,TOR,775000,800000
Quinn Hughes,20232024,VAN,L,D,79,17,74,91,40,38,1.15,12,54,5,37,0,0,1,2,195,8.7,24:45,--,VAN,8600000,7850000
Quinton Byfield,20232024,LAK,L,R,77,19,34,53,19,42,0.69,14,41,5,12,0,0,0,4,150,12.7,16:31,46.1,LAK,832500,894167
Radek Faksa,20232024,DAL,L,C,72,7,12,19,1,16,0.26,5,15,0,0,2,4,0,2,66,10.6,12:32,54.5,DAL,4000000,3250000
Radko Gudas,20232024,ANA,R,D,63,6,11,17,12,126,0.27,6,16,0,0,0,1,0,0,85,7.1,19:24,--,ANA,4000000,4000000
Rasmus Andersson,20232024,CGY,R,D,74,9,27,36,-11,41,0.49,8,27,0,8,1,1,1,3,156,5.8,23:53,--,CGY,4550000,4550000
Rasmus Dahlin,20232024,BUF,L,D,79,20,38,58,-2,64,0.73,14,38,6,20,0,0,1,2,231,8.7,25:29,--,BUF,7200000,6000000
Rasmus Sandin,20232024,WSH,L,D,68,3,20,23,-13,24,0.34,3,18,0,5,0,0,0,1,79,3.8,21:07,--,WSH,1600000,1400000
Reilly Smith,20232024,PIT,L,R,73,12,27,39,6,16,0.53,11,31,1,8,0,0,0,2,145,8.3,16:11,31.3,PIT,5250000,5000000
Rickard Rakell,20232024,PIT,R,R,67,14,21,35,5,22,0.52,10,29,4,6,0,0,0,2,161,8.7,16:36,25,PIT,6000000,5000000
Ridly Greig,20232024,OTT,L,C,69,13,13,26,11,66,0.38,10,23,2,2,1,1,0,1,91,14.3,14:34,42.9,OTT,832500,863333
Robby Fabbri,20232024,DET,L,C,65,18,13,31,-12,32,0.48,13,20,5,11,0,0,0,3,93,19.4,12:48,58.3,DET,4250000,4000000
Robert Thomas,20232024,STL,R,C,79,25,58,83,9,44,1.05,16,54,8,26,1,3,0,3,164,15.2,21:00,53.2,STL,9000000,8125000
Roman Josi,20232024,NSH,L,D,79,21,59,80,11,43,1.01,13,49,8,30,0,1,2,5,258,8.1,24:45,--,NSH,5000000,9059000
Roope Hintz,20232024,DAL,L,C,78,30,35,65,26,22,0.83,19,42,8,19,3,4,2,6,178,16.9,17:13,55.9,DAL,7500000,8450000
Ross Colton,20232024,COL,L,C,77,16,22,38,-10,59,0.49,13,33,3,5,0,0,0,2,141,11.4,13:48,51.8,COL,4100000,4000000
Ryan Donato,20232024,CHI,L,C,74,11,16,27,-16,26,0.36,10,25,1,2,0,0,0,0,144,7.6,14:03,44.7,CHI,2000000,2000000
Ryan Graves,20232024,PIT,L,D,70,3,11,14,10,30,0.2,3,14,0,0,0,0,0,1,77,3.9,18:23,--,NA,NA,NA
Ryan Hartman,20232024,MIN,R,R,70,19,23,42,5,72,0.6,14,33,5,9,0,0,0,2,162,11.7,16:25,47.2,MIN,2000000,1700000
Ryan Johansen,20232024,COL,R,C,63,13,10,23,-6,34,0.37,9,16,4,6,0,1,0,4,78,16.7,13:39,53.1,PHI,4000000,4000000
Ryan Lindgren,20232024,NYR,L,D,74,3,13,16,21,32,0.22,3,16,0,0,0,0,0,1,72,4.2,19:21,--,NYR,4000000,3000000
Ryan McDonagh,20232024,NSH,L,D,72,3,26,29,16,31,0.4,3,25,0,4,0,0,1,1,88,3.4,21:44,--,NSH,8400000,6750000
Ryan McLeod,20232024,EDM,L,C,76,12,18,30,14,10,0.39,12,27,0,1,0,2,0,3,98,12.2,14:14,49.9,EDM,2100000,2100000
Ryan Nugent-Hopkins,20232024,EDM,L,C,76,18,48,66,9,36,0.87,14,37,4,26,0,3,0,3,170,10.6,19:42,48,EDM,6250000,5125000
Ryan O'Reilly,20232024,NSH,L,C,79,26,40,66,7,18,0.84,12,40,14,26,0,0,0,1,178,14.6,19:50,54.1,NSH,5000000,4500000
Ryan Poehling,20232024,PHI,L,C,75,11,17,28,-10,6,0.37,7,22,1,2,3,4,0,1,106,10.4,14:53,49.3,PHI,1400000,1400000
Ryan Pulock,20232024,NYI,R,D,55,5,13,18,4,12,0.33,3,13,2,5,0,0,0,1,87,5.8,22:31,--,NYI,6150000,6150000
Ryan Strome,20232024,ANA,R,C,76,11,28,39,-20,84,0.51,9,25,2,14,0,0,0,0,127,8.7,15:51,45.9,ANA,5000000,5000000
Ryan Suter,20232024,DAL,L,D,80,2,15,17,15,28,0.21,2,16,0,0,0,1,0,1,100,2,18:58,--,DAL,4300000,3650000
Sam Bennett,20232024,FLA,L,C,67,19,20,39,15,98,0.58,14,27,5,12,0,0,0,2,164,11.6,16:36,45.3,FLA,6350000,4425000
Sam Carrick,20232024,"ANA,EDM",R,C,73,9,6,15,-12,102,0.21,6,12,1,1,2,2,0,0,88,10.2,12:09,52.1,EDM,425000,425000
Sam Lafferty,20232024,VAN,R,C,76,12,11,23,4,32,0.3,11,22,0,0,1,1,0,3,75,16,11:52,42,VAN,1150000,1150000
Sam Reinhart,20232024,FLA,R,C,80,54,37,91,26,31,1.14,22,52,27,34,5,5,2,9,225,24,20:16,44.2,FLA,4500000,6500000
Sam Steel,20232024,DAL,L,C,75,9,15,24,0,29,0.32,7,21,0,0,2,3,0,1,84,10.7,13:16,44.7,DAL,850000,850000
Samuel Girard,20232024,COL,L,D,58,3,15,18,1,10,0.31,3,17,0,1,0,0,0,0,73,4.1,19:39,--,COL,5000000,5000000
Scott Laughton,20232024,PHI,L,C,80,13,25,38,-8,69,0.48,10,26,1,5,2,7,0,2,165,7.9,15:43,49,PHI,3625000,3000000
Scott Perunovich,20232024,STL,L,D,51,0,17,17,3,8,0.33,0,11,0,6,0,0,0,0,33,0,14:54,--,STL,775000,775000
Sean Couturier,20232024,PHI,L,C,72,11,26,37,-11,29,0.51,8,28,3,7,0,2,2,3,188,5.9,17:49,53.7,PHI,4000000,7750000
Sean Durzi,20232024,ARI,R,D,73,8,30,38,-1,63,0.52,5,23,3,15,0,0,0,1,134,6,22:41,--,ARI,2000000,1700000
Sean Kuraly,20232024,CBJ,L,C,60,9,8,17,-4,40,0.28,9,16,0,0,0,1,0,0,89,10.1,13:37,47.8,CBJ,3250000,2500000
Sean Monahan,20232024,"MTL,WPG",L,C,80,24,32,56,-3,12,0.7,13,34,9,20,2,2,0,4,167,14.4,18:08,54.7,WPG,1985000,1985000
Sean Walker,20232024,"PHI,COL",R,D,78,10,18,28,9,48,0.36,8,24,0,1,2,3,0,1,145,6.9,19:10,--,COL,3350000,2650000
Sebastian Aho,20232024,CAR,L,C,76,35,52,87,30,34,1.14,23,53,11,32,1,2,2,10,211,16.6,19:38,54.3,NYI,850000,825000
Sebastian Aho,20232024,CAR,L,C,76,35,52,87,30,34,1.14,23,53,11,32,1,2,2,10,211,16.6,19:38,54.3,CAR,775000,8460250
Seth Jarvis,20232024,CAR,R,C,79,30,33,63,20,14,0.8,17,42,11,18,2,3,1,8,173,17.3,18:47,45.2,CAR,832500,894167
Seth Jones,20232024,CHI,R,D,63,8,22,30,-14,30,0.48,5,21,3,9,0,0,2,4,164,4.9,25:29,--,CHI,7500000,9500000
Shane Pinto,20232024,OTT,R,C,38,8,18,26,10,10,0.68,5,21,3,5,0,0,1,1,103,7.8,17:50,51.4,OTT,775000,775000
Shayne Gostisbehere,20232024,DET,L,D,78,10,40,50,-19,16,0.64,8,22,2,28,0,0,0,2,131,7.6,19:02,--,DET,4125000,4125000
Shea Theodore,20232024,VGK,L,D,43,5,34,39,3,6,0.91,3,26,2,13,0,0,0,1,94,5.3,22:08,--,VEG,5200000,5200000
Sidney Crosby,20232024,PIT,L,C,79,41,48,89,10,40,1.13,32,69,9,20,0,0,0,3,267,15.4,20:05,58.2,PIT,3000000,8700000
Simon Holmstrom,20232024,NYI,L,R,74,14,9,23,0,14,0.31,9,16,0,0,5,7,0,2,71,19.7,13:17,31.6,NA,NA,NA
Simon Nemec,20232024,NJD,R,D,58,3,16,19,-6,33,0.33,3,17,0,2,0,0,0,1,72,4.2,19:50,--,NJD,855000,918333
Sonny Milano,20232024,WSH,L,L,46,13,8,21,4,10,0.46,10,17,3,4,0,0,0,2,46,28.3,12:37,--,WSH,2350000,1900000
Stefan Noesen,20232024,CAR,R,R,78,14,21,35,13,31,0.45,11,25,3,10,0,0,0,3,106,13.2,11:46,41.6,CAR,775000,762500
Steven Stamkos,20232024,TBL,R,C,76,39,38,77,-21,32,1.01,20,38,19,39,0,0,0,6,246,15.9,18:12,55.3,TBL,1000000,8500000
T.J. Oshie,20232024,WSH,R,R,49,11,12,23,-8,44,0.47,4,12,7,11,0,0,0,3,84,13.1,16:48,27.9,WSH,4000000,5750000
Tage Thompson,20232024,BUF,R,C,69,29,27,56,0,43,0.81,18,38,9,16,2,2,0,3,242,12,18:18,43.5,BUF,5142858,7142857
Taylor Raddysh,20232024,CHI,R,R,71,5,9,14,-18,22,0.2,3,10,1,3,1,1,0,0,117,4.3,15:57,33.3,CHI,775000,758333
Teddy Blueger,20232024,VAN,L,C,65,6,21,27,6,31,0.42,4,24,0,0,2,3,0,0,95,6.3,14:56,53,VAN,1650000,1900000
Teuvo Teravainen,20232024,CAR,L,L,75,23,28,51,16,10,0.68,14,31,8,16,1,4,0,4,137,16.8,16:25,47.1,NA,NA,NA
Thomas Chabot,20232024,OTT,L,D,48,8,21,29,-3,22,0.6,7,22,1,7,0,0,0,0,107,7.5,23:21,--,OTT,8000000,8000000
Thomas Harley,20232024,DAL,L,D,77,15,31,46,25,18,0.6,13,36,1,9,1,1,3,3,142,10.6,20:57,--,DAL,832500,863333
Tim Stützle,20232024,OTT,L,C,75,18,52,70,-17,28,0.93,17,50,1,20,0,0,2,2,192,9.4,21:07,46.7,OTT,5000000,8350000
Timo Meier,20232024,NJD,L,R,67,27,24,51,-28,45,0.76,17,34,10,17,0,0,1,4,201,13.4,17:29,48.3,NJD,6000000,8800000
Timothy Liljegren,20232024,TOR,R,D,52,3,20,23,7,16,0.44,3,15,0,7,0,1,0,1,60,5,19:40,--,TOR,1500000,1400000
TJ Brodie,20232024,TOR,L,D,76,0,25,25,19,40,0.33,0,25,0,0,0,0,0,0,50,0,21:45,--,NA,NA,NA
Tom Wilson,20232024,WSH,R,R,71,18,15,33,-21,131,0.46,11,22,5,9,2,2,0,3,164,11,18:03,36.7,WSH,5100000,5166667
Tomas Hertl,20232024,"SJS,VGK",L,C,50,15,20,35,-29,22,0.7,9,24,5,10,1,1,1,1,114,13.2,20:48,56.7,NA,NA,NA
Tomas Tatar,20232024,"COL,SEA",L,L,67,8,14,22,6,20,0.33,8,21,0,1,0,0,0,2,69,11.6,12:28,21.1,NA,NA,NA
Tommy Novak,20232024,NSH,L,C,68,16,25,41,-3,6,0.6,10,30,6,11,0,0,0,1,108,14.8,14:11,42.6,NA,NA,NA
Torey Krug,20232024,STL,L,D,77,4,35,39,-31,32,0.51,4,26,0,13,0,0,0,2,162,2.5,21:58,--,STL,8500000,6500000
Travis Konecny,20232024,PHI,R,R,74,32,35,67,5,67,0.91,23,52,4,9,5,6,0,4,238,13.5,19:48,39.4,PHI,6000000,5500000
Travis Sanheim,20232024,PHI,L,D,79,10,34,44,-19,48,0.56,9,35,0,5,1,4,0,3,143,7,23:46,--,PHI,5125000,6250000
Trent Frederic,20232024,BOS,L,C,79,18,21,39,9,67,0.49,16,37,2,2,0,0,0,1,119,15.1,13:45,44.5,BOS,2050000,2300000
Trevor Lewis,20232024,LAK,R,C,79,8,7,15,5,20,0.19,7,12,0,1,1,2,0,2,128,6.3,11:35,41.4,LAK,775000,775000
Trevor Moore,20232024,LAK,L,L,79,30,25,55,11,28,0.7,26,46,2,7,2,2,0,5,240,12.5,17:58,29.8,LAK,3500000,4200000
Troy Terry,20232024,ANA,R,R,73,20,33,53,-10,22,0.73,16,40,4,13,0,0,1,5,169,11.8,18:18,33.3,ANA,7000000,7000000
Tye Kartye,20232024,SEA,L,L,73,9,9,18,-4,37,0.25,9,18,0,0,0,0,0,1,102,8.8,11:48,48.2,SEA,775000,859167
Tyler Bertuzzi,20232024,TOR,L,L,77,21,22,43,7,47,0.56,16,37,5,6,0,0,0,2,153,13.7,16:02,30.8,TOR,775000,5500000
Tyler Johnson,20232024,CHI,R,C,63,16,13,29,-34,24,0.46,9,15,7,14,0,0,0,1,105,15.2,15:38,44.8,CHI,4750000,5000000
Tyler Myers,20232024,VAN,R,D,74,4,22,26,13,75,0.35,3,25,0,0,1,1,0,0,87,4.6,18:52,--,VAN,1000000,6000000
Tyler Seguin,20232024,DAL,R,C,67,25,27,52,10,26,0.78,22,42,3,8,0,2,0,3,152,16.5,16:32,56.3,DAL,2950000,9850000
Tyler Toffoli,20232024,"NJD,WPG",R,C,76,31,21,52,-9,14,0.68,21,35,10,17,0,0,1,3,216,14.4,17:01,38.2,WPG,1750000,2125000
Tyson Barrie,20232024,NSH,R,D,41,1,14,15,-10,16,0.37,1,9,0,6,0,0,0,0,65,1.5,18:19,--,NSH,3750000,4500000
Tyson Foerster,20232024,PHI,R,R,75,20,13,33,0,32,0.44,15,24,4,8,1,1,0,2,162,12.4,17:13,33.3,PHI,832500,863333
Urho Vaakanainen,20232024,ANA,L,D,67,1,13,14,0,26,0.21,1,13,0,0,0,1,0,0,67,1.5,17:29,--,ANA,900000,850000
Valeri Nichushkin,20232024,COL,L,R,51,26,24,50,6,20,0.98,11,28,15,20,0,2,2,6,149,17.5,21:32,28.6,COL,7500000,6125000
Valtteri Puustinen,20232024,PIT,R,R,49,4,15,19,3,6,0.39,4,17,0,2,0,0,0,0,81,4.9,11:52,25,PIT,775000,775000
Victor Hedman,20232024,TBL,L,D,76,13,63,76,20,76,1,9,45,4,31,0,0,0,2,162,8,24:47,--,TBL,5000000,7875000
Victor Olofsson,20232024,BUF,L,L,50,7,8,15,0,4,0.3,6,12,1,3,0,0,0,1,66,10.6,11:38,0,BUF,4750000,4750000
Vince Dunn,20232024,SEA,L,D,59,11,35,46,8,78,0.78,7,29,4,16,0,1,0,0,120,9.2,23:05,--,SEA,9000000,7350000
Vincent Trocheck,20232024,NYR,R,C,80,25,51,76,13,55,0.95,13,51,11,24,1,1,1,5,210,11.9,21:24,58.8,NYR,3500000,5625000
Vladimir Tarasenko,20232024,"OTT,FLA",L,R,74,23,31,54,11,12,0.73,20,45,3,9,0,0,0,5,146,15.8,15:42,57.1,FLA,2500000,2500000
Vladislav Gavrikov,20232024,LAK,L,D,74,6,17,23,9,28,0.31,6,22,0,0,0,1,1,1,108,5.6,20:41,--,LAK,775000,5875000
Vladislav Namestnikov,20232024,WPG,L,C,76,11,26,37,17,35,0.49,7,31,3,5,1,1,0,0,94,11.7,14:31,36.4,WPG,2000000,2000000
Warren Foegele,20232024,EDM,L,L,77,17,20,37,1,45,0.48,15,34,1,1,1,2,0,1,174,9.8,13:51,45.5,EDM,3250000,2750000
Will Borgen,20232024,SEA,R,D,78,3,22,25,-3,65,0.32,3,25,0,0,0,0,0,0,92,3.3,17:35,--,NA,NA,NA
Will Cuylle,20232024,NYR,L,L,79,13,8,21,-2,56,0.27,12,19,1,2,0,0,0,2,114,11.4,11:08,20,NA,NA,NA
William Eklund,20232024,SJS,L,L,77,16,27,43,-40,30,0.56,8,26,8,16,0,1,2,5,125,12.8,18:39,31.1,SJS,832500,863333
William Karlsson,20232024,VGK,L,C,66,27,29,56,15,20,0.85,20,41,6,13,1,2,0,2,164,16.5,17:42,55.2,VEG,5600000,5900000
William Nylander,20232024,TOR,R,R,79,40,56,96,7,24,1.22,26,58,11,34,3,4,2,7,305,13.1,19:57,46.1,TOR,2500000,6962366
Wyatt Johnston,20232024,DAL,R,C,80,32,33,65,14,38,0.81,26,52,3,10,3,3,0,3,211,15.2,16:57,50.3,DAL,832500,894167
Yakov Trenin,20232024,"NSH,COL",L,C,73,12,4,16,14,40,0.22,12,15,0,0,0,1,0,3,114,10.5,14:38,44.6,COL,1700000,1700000
Yanni Gourde,20232024,SEA,L,C,76,8,21,29,-12,62,0.38,8,26,0,2,0,1,0,0,148,5.4,17:31,47.8,SEA,5100000,5166666
Yegor Chinakhov,20232024,CBJ,L,R,53,16,13,29,-3,6,0.55,15,27,1,2,0,0,0,3,110,14.6,15:10,7.1,CBJ,800000,800000
Yegor Sharangovich,20232024,CGY,L,C,78,30,27,57,-28,8,0.73,21,34,6,17,3,6,1,4,168,17.9,17:14,38.7,CGY,3100000,3100000
Zach Benson,20232024,BUF,L,L,69,10,19,29,-3,36,0.42,10,27,0,2,0,0,0,1,94,10.6,14:30,29.4,BUF,855000,950000
Zach Bogosian,20232024,"TBL,MIN",R,D,61,3,11,14,9,59,0.23,3,13,0,0,0,1,0,1,80,3.8,17:48,--,MIN,1050000,850000
Zach Hyman,20232024,EDM,R,L,76,53,22,75,36,46,0.99,38,55,15,20,0,0,1,7,280,18.9,19:33,43.8,EDM,7650000,5500000
Zach Werenski,20232024,CBJ,L,D,68,9,44,53,-7,22,0.78,7,41,2,12,0,0,0,0,199,4.5,24:25,--,NA,NA,NA
Zemgus Girgensons,20232024,BUF,L,L,61,8,5,13,-1,21,0.21,8,13,0,0,0,0,0,3,72,11.1,11:51,48.7,BUF,2500000,2500000
