Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Charlie Coyle,20232024,BOS,R,C,79,25,33,58,0,38,0.73,17,43,7,11,1,4,0,5,145,17.2,18:09,51.3,BOS,4500000,5250000
Charlie McAvoy,20232024,BOS,R,D,71,12,34,46,7,86,0.65,11,33,1,13,0,0,2,3,127,9.5,24:54,--,BOS,7750000,9500000
Chris Kreider,20232024,NYR,L,L,80,39,33,72,16,26,0.9,19,40,18,29,2,3,1,7,242,16.1,18:47,36.5,NYR,3000000,6500000
Chris Tanev,20232024,"CGY,DAL",R,D,73,2,17,19,22,24,0.26,2,19,0,0,0,0,0,0,53,3.8,19:40,--,DAL,1125000,1125000
Christian Fischer,20232024,DET,R,R,76,5,14,19,3,34,0.25,4,18,0,0,1,1,0,0,83,6,11:22,40.6,DET,1125000,1125000
Claude Giroux,20232024,OTT,R,R,79,21,41,62,-15,24,0.78,16,42,3,17,2,3,1,2,176,11.9,20:05,58.1,OTT,7000000,6500000
Clayton Keller,20232024,ARI,L,R,75,33,40,73,-22,32,0.97,24,45,9,28,0,0,0,4,215,15.4,19:11,46.9,ARI,6000000,7150000
Cody Ceci,20232024,EDM,R,D,76,4,20,24,11,14,0.32,4,23,0,0,0,1,0,0,94,4.3,19:59,--,EDM,4500000,3250000
Cole Caufield,20232024,MTL,R,R,79,25,37,62,-5,16,0.78,17,42,8,20,0,0,3,7,300,8.3,19:23,46.7,MTL,4975000,7850000
Cole Perfetti,20232024,WPG,L,C,70,17,19,36,11,12,0.51,12,25,5,11,0,0,0,3,139,12.2,13:32,37.6,WPG,832500,894167
Cole Sillinger,20232024,CBJ,L,C,75,13,18,31,-4,44,0.41,12,29,1,1,0,1,0,1,148,8.8,16:05,46.2,CBJ,832500,925000
Cole Smith,20232024,NSH,L,L,78,9,14,23,6,63,0.29,8,20,0,0,1,3,0,4,109,8.3,13:42,31.3,NSH,775000,775000
Colton Parayko,20232024,STL,R,D,79,10,16,26,4,23,0.33,9,23,0,1,1,2,1,4,151,6.6,23:47,--,STL,8000000,6500000
Colton Sissons,20232024,NSH,R,C,79,15,20,35,-8,34,0.44,9,24,3,7,3,4,0,2,126,11.9,16:37,52.7,NSH,3500000,2857143
Connor Bedard,20232024,CHI,R,C,64,22,37,59,-39,26,0.92,18,39,4,20,0,0,1,2,201,11,19:46,39.1,CHI,855000,950000
Connor Clifton,20232024,BUF,R,D,77,4,14,18,12,73,0.23,4,18,0,0,0,0,0,1,75,5.3,16:33,--,BUF,3333334,3333333
Connor Dewar,20232024,"MIN,TOR",L,C,72,11,6,17,-9,28,0.24,10,16,0,0,1,1,0,0,73,15.1,11:36,46.8,TOR,850000,800000
Connor McDavid,20232024,EDM,L,C,74,31,99,130,34,30,1.76,23,85,7,44,1,1,1,5,258,12,21:29,51.3,EDM,1000000,12500000
Connor McMichael,20232024,WSH,L,C,77,18,15,33,-20,34,0.43,15,25,2,6,1,2,0,3,133,13.5,15:59,42.7,WSH,832500,863333
Connor Zary,20232024,CGY,L,C,59,12,19,31,13,22,0.53,11,27,1,4,0,0,0,2,84,14.3,15:19,39.4,CGY,832500,863333
Conor Garland,20232024,VAN,R,R,79,19,24,43,19,23,0.54,18,39,1,4,0,0,0,3,190,10,14:30,20,VAN,6000000,4950000
Conor Sheary,20232024,TBL,L,L,54,4,11,15,-4,12,0.28,4,15,0,0,0,0,0,0,47,8.5,11:01,40,TBL,1500000,2000000
Corey Perry,20232024,"CHI,EDM",R,R,49,11,9,20,-3,46,0.41,8,16,3,4,0,0,0,2,76,14.5,13:19,0,EDM,775000,775000
Craig Smith,20232024,DAL,R,C,73,10,9,19,2,33,0.26,10,19,0,0,0,0,0,2,109,9.2,10:14,25,DAL,800000,1000000
Curtis Lazar,20232024,NJD,R,C,71,7,18,25,10,44,0.35,6,24,0,0,1,1,0,2,74,9.5,12:23,48.8,NJD,1000000,1000000
Dakota Joshua,20232024,VAN,L,C,60,16,14,30,17,58,0.5,15,29,1,1,0,0,0,5,78,20.5,14:19,47.9,VAN,850000,825000
Damon Severson,20232024,CBJ,R,D,65,9,18,27,-12,49,0.42,9,22,0,3,0,2,0,1,85,10.6,21:09,--,CBJ,6000000,6250000
Daniel Sprong,20232024,DET,R,R,73,17,24,41,-7,22,0.56,14,29,3,12,0,0,0,1,155,11,12:05,66.7,DET,2000000,2000000
Danton Heinen,20232024,BOS,L,L,71,16,19,35,14,28,0.49,14,33,1,1,1,1,0,4,116,13.8,14:24,38.7,BOS,775000,775000
Darnell Nurse,20232024,EDM,L,D,77,9,18,27,3,79,0.35,7,21,1,5,1,1,1,2,174,5.2,21:56,--,EDM,10400000,9250000
Darren Raddysh,20232024,TBL,R,D,79,6,25,31,-2,21,0.39,5,25,1,6,0,0,1,2,96,6.3,19:01,--,TBL,775000,762500
David Kampf,20232024,TOR,L,C,75,8,9,17,-5,18,0.23,8,17,0,0,0,0,0,1,79,10.1,13:29,51.1,NA,NA,NA
David Pastrnak,20232024,BOS,R,R,79,47,60,107,23,47,1.35,35,73,12,34,0,0,0,5,370,12.7,20:00,27.3,NA,NA,NA
David Perron,20232024,DET,R,L,73,15,27,42,-12,55,0.58,8,25,7,17,0,0,0,4,143,10.5,15:32,45.5,DET,5150000,4750000
David Savard,20232024,MTL,R,D,57,6,14,20,-2,22,0.35,6,20,0,0,0,0,0,0,53,11.3,20:12,--,MTL,4200000,3500000
Dawson Mercer,20232024,NJD,R,C,80,20,13,33,-24,29,0.41,16,28,4,5,0,0,0,2,132,15.2,17:07,45.1,NJD,832500,894167
Devon Toews,20232024,COL,L,D,79,12,37,49,27,18,0.62,12,42,0,5,0,2,0,2,155,7.7,23:26,--,COL,5900000,4100000
Dmitri Voronkov,20232024,CBJ,L,L,74,18,16,34,-5,52,0.46,12,26,6,8,0,0,0,2,140,12.9,13:26,42.2,CBJ,832500,925000
Dmitry Kulikov,20232024,FLA,L,D,74,1,19,20,13,63,0.27,1,18,0,0,0,2,0,0,73,1.4,16:26,--,FLA,1000000,1000000
Dmitry Orlov,20232024,CAR,L,D,79,6,20,26,6,36,0.33,5,20,0,5,1,1,0,1,124,4.8,17:12,--,CAR,4750000,7750000
Dominik Kubalik,20232024,OTT,L,L,72,11,4,15,-30,19,0.21,7,11,4,4,0,0,0,2,89,12.4,12:13,41.7,NA,NA,NA
Dougie Hamilton,20232024,NJD,R,D,20,5,11,16,-8,20,0.8,1,8,4,8,0,0,0,0,61,8.2,20:59,--,NA,NA,NA
Drake Batherson,20232024,OTT,R,R,79,28,35,63,-8,42,0.8,21,42,7,21,0,0,1,4,185,15.1,18:05,40.9,OTT,5400000,4975000
Drew Doughty,20232024,LAK,R,D,79,15,34,49,13,42,0.62,8,29,7,20,0,0,1,3,130,11.5,25:48,--,LAK,11000000,11000000
Drew O'Connor,20232024,PIT,L,L,76,15,16,31,12,20,0.41,15,30,0,0,0,1,0,2,155,9.7,15:39,47.7,PIT,925000,925000
Dylan Cozens,20232024,BUF,R,C,77,16,28,44,-5,42,0.57,12,32,2,10,2,2,1,1,192,8.3,17:11,45.8,BUF,5100000,7100000
Dylan DeMelo,20232024,WPG,R,D,79,3,27,30,42,36,0.38,3,29,0,1,0,0,0,0,82,3.7,21:47,--,WPG,3500000,3000000
Dylan Guenther,20232024,ARI,R,R,42,15,16,31,1,12,0.74,7,18,7,11,1,2,1,4,110,13.6,16:10,22.7,ARI,832500,894167
Dylan Larkin,20232024,DET,L,C,65,32,33,65,1,39,1,17,38,13,25,2,2,1,4,207,15.5,20:00,55.9,DET,10000000,8700000
Dylan Samberg,20232024,WPG,L,D,75,1,17,18,15,43,0.24,1,16,0,1,0,1,0,0,76,1.3,15:31,--,WPG,1300000,1400000
Dylan Strome,20232024,WSH,L,C,79,27,38,65,-15,20,0.82,21,44,6,21,0,0,3,5,163,16.6,17:53,52.8,WSH,4500000,5000000
Eeli Tolvanen,20232024,SEA,L,R,78,16,25,41,-13,24,0.53,15,31,1,10,0,0,0,3,152,10.5,15:44,34.3,SEA,1450000,1450000
Eetu Luostarinen,20232024,FLA,L,C,80,12,14,26,0,26,0.33,10,23,2,2,0,1,0,2,116,10.3,15:56,53.4,FLA,1500000,1500000
Egor Zamula,20232024,PHI,L,D,64,5,15,20,2,32,0.31,3,10,2,9,0,1,0,1,59,8.5,16:01,--,NA,NA,NA
Elias Lindholm,20232024,"CGY,VAN",R,C,72,14,27,41,-15,25,0.57,8,28,5,11,1,2,0,4,165,8.5,19:47,56.6,VAN,4850000,4850000
Elias Pettersson,20232024,VAN,L,C,79,34,54,88,20,12,1.11,21,55,13,31,0,2,2,10,205,16.6,19:44,50.8,VAN,10250000,7350000
Emil Bemstrom,20232024,"CBJ,PIT",R,C,54,7,8,15,-6,12,0.28,3,10,4,5,0,0,0,1,81,8.6,11:21,37.5,NA,NA,NA
Erik Brannstrom,20232024,OTT,L,D,73,3,16,19,4,36,0.26,3,18,0,0,0,1,0,0,74,4.1,16:30,--,NA,NA,NA
Erik Gudbranson,20232024,CBJ,R,D,76,6,17,23,-14,72,0.3,6,22,0,0,0,1,0,1,89,6.7,19:37,--,CBJ,4000000,4000000
Erik Gustafsson,20232024,NYR,L,D,74,6,24,30,2,35,0.41,6,21,0,9,0,0,0,1,89,6.7,17:23,--,NA,NA,NA
Erik Haula,20232024,NJD,L,L,74,16,19,35,0,52,0.47,14,30,1,3,1,2,0,2,148,10.8,16:51,55.4,NJD,2900000,3150000
Erik Karlsson,20232024,PIT,R,D,79,10,42,52,7,42,0.66,8,37,2,15,0,0,2,4,197,5.1,24:16,--,PIT,9130435,10000000
Esa Lindell,20232024,DAL,L,D,80,5,20,25,16,12,0.31,5,24,0,0,0,1,0,0,112,4.5,20:25,--,DAL,5000000,5800000
Evan Bouchard,20232024,EDM,R,D,77,17,62,79,34,30,1.03,9,44,8,35,0,0,2,7,209,8.1,23:02,--,EDM,3500000,3900000
Evan Rodrigues,20232024,FLA,R,C,78,12,27,39,27,32,0.5,9,29,3,10,0,0,0,1,181,6.6,15:11,50,FLA,775000,3000000
Evander Kane,20232024,EDM,L,L,75,23,18,41,-4,83,0.55,20,33,2,7,1,1,1,3,216,10.7,16:44,47.2,EDM,1500000,5125000
